dataset,layer,PR_mean,CD
Thatcher,1,1.6182156,100.0
Thatcher,2,1.6182156,100.0
Thatcher,3,1.6774385,99.4
Thatcher,4,1.6774385,99.4
Thatcher,5,1.6020694,98.8
Thatcher,6,1.5407355,91.5
Thatcher,7,1.5407355,91.5
Thatcher,8,1.5199581,83.8
Thatcher,9,1.5199581,83.8
Thatcher,10,1.4998993,79.0
Thatcher,11,2.0687048,88.6
Thatcher,12,2.0687048,88.6
Thatcher,13,2.603303,95.0
Thatcher,14,2.603303,95.0
Thatcher,15,2.9513528,95.7
Thatcher,16,2.9513528,95.7
Thatcher,17,3.4142249,94.6
Thatcher,18,3.1236002,92.2
Thatcher,19,3.1236002,92.2
Thatcher,20,2.889459,89.5
Thatcher,21,2.889459,89.5
Thatcher,22,3.2542028,91.2
Thatcher,23,3.2542028,91.2
Thatcher,24,3.682036,92.3
Thatcher,25,3.394246,87.9
Thatcher,26,3.394246,87.9
Thatcher,27,3.2399101,86.6
Thatcher,28,3.2399101,86.6
Thatcher,29,2.9820051,84.0
Thatcher,30,2.9820051,84.0
Thatcher,31,3.4632552,85.4
Thatcher,32,3.5846372,80.8
Thatcher,33,3.5846372,80.8
Thatcher,34,3.5846372,80.8
Thatcher,35,3.6199818,77.3
Thatcher,36,3.6199818,77.3
Thatcher,37,3.6199818,77.3
Thatcher,38,3.8400903,74.7
NonSemantic,1,-82.506836,0.0
NonSemantic,2,-82.506836,0.0
NonSemantic,3,-82.16726,0.0
NonSemantic,4,-82.16726,0.0
NonSemantic,5,-81.82189,0.0
NonSemantic,6,-81.30284,0.0
NonSemantic,7,-81.30284,0.0
NonSemantic,8,-80.73691,0.0
NonSemantic,9,-80.73691,0.0
NonSemantic,10,-80.42936,0.0
NonSemantic,11,-79.81866,0.0
NonSemantic,12,-79.81866,0.0
NonSemantic,13,-79.77064,0.0
NonSemantic,14,-79.77064,0.0
NonSemantic,15,-79.561066,0.0
NonSemantic,16,-79.561066,0.0
NonSemantic,17,-79.98772,0.0
NonSemantic,18,-79.19241,0.0
NonSemantic,19,-79.19241,0.0
NonSemantic,20,-78.73233,0.0
NonSemantic,21,-78.73233,0.0
NonSemantic,22,-78.64873,0.0
NonSemantic,23,-78.64873,0.0
NonSemantic,24,-79.76304,0.0
NonSemantic,25,-78.3578,0.0
NonSemantic,26,-78.3578,0.0
NonSemantic,27,-77.19875,0.0
NonSemantic,28,-77.19875,0.0
NonSemantic,29,-76.08395,0.0
NonSemantic,30,-76.08395,0.0
NonSemantic,31,-76.55889,0.0
NonSemantic,32,-76.009995,0.0
NonSemantic,33,-76.009995,0.0
NonSemantic,34,-76.009995,0.0
NonSemantic,35,-75.51223,0.0
NonSemantic,36,-75.51223,0.0
NonSemantic,37,-75.51223,0.0
NonSemantic,38,-75.461044,0.0
