dataset,layer,PR_mean,CD
Thatcher,1,1.3535105,100.0
Thatcher,2,1.3535105,100.0
Thatcher,3,1.8405411,99.7
Thatcher,4,1.8405411,99.7
Thatcher,5,1.6911885,99.1
Thatcher,6,2.1728604,99.7
Thatcher,7,2.1728604,99.7
Thatcher,8,2.037803,98.6
Thatcher,9,2.037803,98.6
Thatcher,10,2.2592547,96.6
Thatcher,11,2.62744,96.8
Thatcher,12,2.62744,96.8
Thatcher,13,2.5943384,95.4
Thatcher,14,2.5943384,95.4
Thatcher,15,2.6162517,95.6
Thatcher,16,2.6162517,95.6
Thatcher,17,3.3549159,95.0
Thatcher,18,3.2180064,92.8
Thatcher,19,3.2180064,92.8
Thatcher,20,3.254589,93.4
Thatcher,21,3.254589,93.4
Thatcher,22,3.3550172,93.8
Thatcher,23,3.3550172,93.8
Thatcher,24,3.9251385,94.6
Thatcher,25,3.6193,90.3
Thatcher,26,3.6193,90.3
Thatcher,27,3.5276215,89.1
Thatcher,28,3.5276215,89.1
Thatcher,29,3.2824492,86.8
Thatcher,30,3.2824492,86.8
Thatcher,31,3.9245663,89.5
Thatcher,32,3.8823411,84.2
Thatcher,33,3.8823411,84.2
Thatcher,34,3.8823411,84.2
Thatcher,35,3.843131,79.9
Thatcher,36,3.843131,79.9
Thatcher,37,3.843131,79.9
Thatcher,38,4.159528,76.3
NonSemantic,1,-81.62291,0.0
NonSemantic,2,-81.62291,0.0
NonSemantic,3,-81.68652,0.0
NonSemantic,4,-81.68652,0.0
NonSemantic,5,-81.44907,0.0
NonSemantic,6,-81.39273,0.0
NonSemantic,7,-81.39273,0.0
NonSemantic,8,-81.3458,0.0
NonSemantic,9,-81.3458,0.0
NonSemantic,10,-81.08127,0.0
NonSemantic,11,-80.683975,0.0
NonSemantic,12,-80.683975,0.0
NonSemantic,13,-80.25289,0.0
NonSemantic,14,-80.25289,0.0
NonSemantic,15,-80.10832,0.0
NonSemantic,16,-80.10832,0.0
NonSemantic,17,-80.388954,0.0
NonSemantic,18,-79.917305,0.0
NonSemantic,19,-79.917305,0.0
NonSemantic,20,-79.70156,0.0
NonSemantic,21,-79.70156,0.0
NonSemantic,22,-79.32717,0.0
NonSemantic,23,-79.32717,0.0
NonSemantic,24,-80.32726,0.0
NonSemantic,25,-79.46431,0.0
NonSemantic,26,-79.46431,0.0
NonSemantic,27,-78.495056,0.0
NonSemantic,28,-78.495056,0.0
NonSemantic,29,-77.67551,0.0
NonSemantic,30,-77.67551,0.0
NonSemantic,31,-78.2746,0.0
NonSemantic,32,-77.92115,0.0
NonSemantic,33,-77.92115,0.0
NonSemantic,34,-77.92115,0.0
NonSemantic,35,-77.43449,0.0
NonSemantic,36,-77.43449,0.0
NonSemantic,37,-77.43449,0.0
NonSemantic,38,-77.46676,0.0
