dataset,layer,PR_mean,CD
Thatcher,1,0.4414976,98.6
Thatcher,2,0.4414976,98.6
Thatcher,3,0.19197144,90.2
Thatcher,4,0.19197144,90.2
Thatcher,5,0.19747663,85.0
Thatcher,6,0.09031008,64.6
Thatcher,7,0.09031008,64.6
Thatcher,8,0.3882648,93.3
Thatcher,9,0.3882648,93.3
Thatcher,10,0.36438388,84.4
Thatcher,11,0.39481118,72.9
Thatcher,12,0.39481118,72.9
Thatcher,13,0.05986939,55.1
Thatcher,14,0.05986939,55.1
Thatcher,15,-0.8678664,27.6
Thatcher,16,-0.8678664,27.6
Thatcher,17,-1.0574914,25.9
Thatcher,18,-1.8762503,20.0
Thatcher,19,-1.8762503,20.0
Thatcher,20,-0.5317444,43.9
Thatcher,21,-0.5317444,43.9
Thatcher,22,8.5370865,94.3
Thatcher,23,8.5370865,94.3
Thatcher,24,9.501148,94.7
Thatcher,25,20.979471,97.8
Thatcher,26,20.979471,97.8
Thatcher,27,36.93733,99.0
Thatcher,28,36.93733,99.0
Thatcher,29,112.102425,99.9
Thatcher,30,112.102425,99.9
Thatcher,31,114.90547,99.9
Thatcher,32,186.21617,100.0
Thatcher,33,186.21617,100.0
Thatcher,34,186.21617,100.0
Thatcher,35,161.49557,99.8
Thatcher,36,161.49557,99.8
Thatcher,37,161.49557,99.8
Thatcher,38,158.99057,99.5
NonSemantic,1,-81.98766,0.0
NonSemantic,2,-81.98766,0.0
NonSemantic,3,-82.2015,0.0
NonSemantic,4,-82.2015,0.0
NonSemantic,5,-82.22543,0.0
NonSemantic,6,-78.45753,0.0
NonSemantic,7,-78.45753,0.0
NonSemantic,8,-76.99066,0.0
NonSemantic,9,-76.99066,0.0
NonSemantic,10,-76.29854,0.0
NonSemantic,11,-73.88316,0.0
NonSemantic,12,-73.88316,0.0
NonSemantic,13,-72.07852,0.0
NonSemantic,14,-72.07852,0.0
NonSemantic,15,-69.78826,0.0
NonSemantic,16,-69.78826,0.0
NonSemantic,17,-69.56087,0.0
NonSemantic,18,-69.736694,0.0
NonSemantic,19,-69.736694,0.0
NonSemantic,20,-69.30787,0.0
NonSemantic,21,-69.30787,0.0
NonSemantic,22,-64.24159,0.0
NonSemantic,23,-64.24159,0.0
NonSemantic,24,-62.941624,0.0
NonSemantic,25,-58.034515,0.0
NonSemantic,26,-58.034515,0.0
NonSemantic,27,-52.506138,0.0
NonSemantic,28,-52.506138,0.0
NonSemantic,29,-11.840854,29.1
NonSemantic,30,-11.840854,29.1
NonSemantic,31,-10.984293,30.6
NonSemantic,32,85.500496,98.0
NonSemantic,33,85.500496,98.0
NonSemantic,34,85.500496,98.0
NonSemantic,35,89.108696,97.2
NonSemantic,36,89.108696,97.2
NonSemantic,37,89.108696,97.2
NonSemantic,38,80.34095,93.9
