dataset,layer,PR_mean,CD
Thatcher,1,1.9021402239799499,96.1
Thatcher,2,11.017483174800873,100.0
Thatcher,3,22.90189794301987,100.0
Thatcher,4,41.48576284646988,100.0
Thatcher,5,47.153228068351744,100.0
Thatcher,6,50.75759118795395,100.0
Thatcher,7,46.700874829292296,100.0
Thatcher,8,42.39510042667389,100.0
Thatcher,9,36.96809560060501,100.0
Thatcher,10,35.02789314985275,100.0
Thatcher,11,31.76232639551163,99.9
Thatcher,12,33.45317943096161,99.6
NonSemantic,1,-76.15626758486033,0.0
NonSemantic,2,-78.60858286693693,0.0
NonSemantic,3,-73.5340073555708,0.0
NonSemantic,4,-72.64399161487817,0.0
NonSemantic,5,-72.6029953956604,0.0
NonSemantic,6,-71.58783701360225,0.0
NonSemantic,7,-71.00338870435954,0.0
NonSemantic,8,-71.34544179886579,0.0
NonSemantic,9,-69.90003113895655,0.0
NonSemantic,10,-68.21311792582273,0.0
NonSemantic,11,-66.65441073328256,0.0
NonSemantic,12,-64.04097552001477,0.0
