dataset,layer,PR_mean,CD
Thatcher,1,13.73769798874855,71.6
Thatcher,2,0.5545131623744964,33.800000000000004
Thatcher,3,-23.58934347331524,10.100000000000001
Thatcher,4,-31.22429826259613,4.3999999999999995
Thatcher,5,-26.20910326242447,6.4
Thatcher,6,23.5062293946743,92.10000000000001
Thatcher,7,-2.065461814403534,41.0
Thatcher,8,-7.874838954210281,23.9
Thatcher,9,-5.663598793745041,37.2
Thatcher,10,-3.8594697237014772,41.3
Thatcher,11,12.285418489575386,74.9
Thatcher,12,11.245118570327758,69.8
Thatcher,13,14.821630674600602,75.9
Thatcher,14,17.939532643556596,79.5
Thatcher,15,19.219643425941467,81.6
Thatcher,16,18.779903787374497,80.7
Thatcher,17,24.098222815990447,86.4
Thatcher,18,24.391914820671083,86.8
Thatcher,19,25.624335831403734,87.0
Thatcher,20,24.514651358127594,83.89999999999999
NonSemantic,1,-47.140072932094334,4.5
NonSemantic,2,-39.46256245300174,15.2
NonSemantic,3,-51.57236318178475,7.1
NonSemantic,4,-63.59899904727936,3.1
NonSemantic,5,-65.7594120979309,2.1
NonSemantic,6,-60.64278629757464,1.2
NonSemantic,7,-61.79871504381299,0.8999999999999999
NonSemantic,8,-56.307673420011994,0.7000000000000001
NonSemantic,9,-50.83513633087277,1.9
NonSemantic,10,-50.70811353325844,2.1
NonSemantic,11,-44.93858992680907,5.2
NonSemantic,12,-44.163135796785355,5.0
NonSemantic,13,-42.82672750800848,5.800000000000001
NonSemantic,14,-42.50665255486965,5.2
NonSemantic,15,-42.90668809041381,5.4
NonSemantic,16,-42.086632990837096,6.2
NonSemantic,17,-43.22111037224531,5.6000000000000005
NonSemantic,18,-43.719814953953026,5.0
NonSemantic,19,-44.68300607576966,4.3
NonSemantic,20,-45.84752761051059,5.0
